@relation popular

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 {0, 1}
@attribute a17 {0, 1}
@attribute a18 {0, 1}
@attribute a19 {0, 1}

@data
1,916.125,11900,-0.2,178,4.943820225,4,3465.264706,11900,0.213020833,3,6,2731.343603,1800,0.04494382,0,0,0,0
5,0,702,-0.293888889,592,4.880067568,-1,3831.134177,2134,0.064962121,8,7,2175.440532,0,0.054054054,0,1,0,0
3,2401.114943,7000,-0.25245098,866,5.158198614,4,3702.75,10600,0.065289059,67,7,2931.488393,27700,0.031177829,0,0,0,1
3,2822.131805,4500,-0.155555556,179,4.726256983,-1,16855,54300,0.200868056,10,7,6050.621528,63100,0.044692737,0,0,0,1
6,0,890,-0.180952381,343,4.443148688,217,2814.458667,890,0.070075758,12,6,1554.725828,0,0.032069971,0,0,0,1
1,0,2000,-0.1875,254,4.724409449,-1,4706.813265,2000,0.130748663,3,9,2354.765369,0,0.031496063,1,0,0,0
6,3082.21411,4300,-0.11875,279,4.921146953,-1,19742.85714,10275,0.131107955,6,5,8240.87106,75600,0.032258065,0,1,0,1
8,2176.250239,768,-0.253581871,678,4.938053097,-1,3575.02691,3975.75,0.011240597,13,4,2767.648596,7600,0.019174041,0,1,0,0
4,1799.571429,1100,-0.196759259,357,4.960784314,-1,3502.270189,2250,0.104253472,7,6,2728.431248,6500,0.030812325,0,1,0,0
2,0,1000,-0.125,226,4.247787611,-1,3413.509514,1000,0.152083333,5,5,2121.061008,0,0.030973451,0,0,0,0
4,2106.110738,2000,-0.334444444,254,4.488188976,-1,5581.934466,2000,0.227111111,4,6,3276.87372,16300,0.05511811,1,0,0,0
2,0,734,-0.268686869,1343,4.905435592,-1,3575.743282,1067,-0.033716475,8,6,1381.232733,0,0.017125838,0,0,0,0
4,1085.333333,519,-0.232275132,459,4.808278867,-1,4041.163668,13411,0.22984793,28,6,3131.43508,2200,0.032679739,1,0,0,0
2,1924.929577,10000,-0.176851852,1050,4.800952381,217,12300,10000,0.148770872,21,10,4819.501348,3200,0.034285714,0,0,0,1
2,3082.609689,9100,-0.345833333,433,4.542725173,-1,7570.878571,9700,0.132981602,3,5,5394.795621,52100,0.043879908,0,0,0,1
8,0,3300,-0.166666667,545,4.440366972,4,5132.267606,3450,0.203513451,11,10,2953.701136,0,0.036697248,0,0,0,1
4,0,1000,-0.335352891,2458,4.782750203,217,2955.494465,1550,0.132391838,5,7,2166.47837,0,0.06916192,1,0,0,0
2,1174.666667,3600,-0.245833333,2521,4.626735422,4,3500,3600,0.082366283,71,10,2500.855502,2200,0.015073384,0,0,0,0
1,2166.264849,5900,-0.287412698,1001,4.761238761,-1,3409.404329,5900,0.063084959,17,3,2685.890963,141400,0.036963037,1,0,0,1
1,808.8,1300,-0.28787037,1053,4.858499525,-1,3443.120085,1300,0.143252235,60,7,1944.956112,1100,0.040835708,0,0,0,0
4,0,654,-0.257407407,708,4.439265537,-1,4504.387471,1282,0.182108897,11,8,2609.48242,0,0.050847458,0,1,0,0
2,0,6100,-0.299145299,622,4.168810289,-1,8442.032028,6100,0.134564948,14,8,4474.717259,0,0.049839228,0,0,0,1
1,0,4200,-0.429166667,149,4.543624161,-1,5943.31746,4200,0.062152778,2,5,3076.834118,0,0.033557047,0,0,0,1
0,0,0,-0.387777778,641,4.333853354,-1,3801.773894,0,0.057078724,4,5,2638.398281,0,0.046801872,0,0,0,0
3,0,5900,-0.210416667,272,4.352941176,-1,6082.051282,5900,0.167307692,4,7,3099.0061,0,0.058823529,0,0,0,1
1,0,0,-0.472222222,192,4.786458333,-1,7539.442308,0,0.178623188,9,10,2202.313256,0,0.072916667,0,0,0,1
